Name,Value
ATA-TG2A_GNL_A,1.196
ATA-TG2A_GNL_B,1.196
ATA-TG2A_GNL_C,1.196
ATA-TG2A_GNL_D,1.196
ATA-TG2A_GNL_E,1.196
ATA-TG2A_GN_A,1.196
ATA-TG2A_GNL_INF,1.196
ATA-TG2A+0.5TV2C_DIE,7.768
ATA-TG2A+0.5TV2C_GNL_A,7.142
ATA-TG2A+0.5TV2C_GNL_B,7.142
ATA-TG2A+0.5TV2C_GNL_C,7.142
ATA-TG2A+0.5TV2C_GNL_D,7.142
ATA-TG2A+0.5TV2C_GNL_E,7.142
ATA-TG2A+0.5TV2C_GN_A,7.142
ATA-TG2A+0.5TV2C_GNL_INF,7.142
ATA-TG2A+TG2B+TV2C_DIE,7.924
ATA-TG2A+TG2B+TV2C_GNL_A,6.4
ATA-TG2A+TG2B+TV2C_GNL_B,6.4
ATA-TG2A+TG2B+TV2C_GNL_C,6.4
ATA-TG2A+TG2B+TV2C_GNL_D,6.4
ATA-TG2A+TG2B+TV2C_GNL_E,6.4
ATA-TG2A+TG2B+TV2C_GN_A,6.4
ATA-TG2A+TG2B+TV2C_GNL_INF,6.4
ATA-TG2B_DIE,6.38
ATA-TG2B_GNL_A,6.25
ATA-TG2B_GNL_B,6.25
ATA-TG2B_GNL_C,6.25
ATA-TG2B_GNL_D,6.25
ATA-TG2B_GNL_E,6.25
ATA-TG2B_GN_A,6.25
ATA-TG2B_GNL_INF,6.25
ATA-TG2B+0.5TV2C_DIE,6.215
ATA-TG2B+0.5TV2C_GNL_A,7.4
ATA-TG2B+0.5TV2C_GNL_B,7.4
ATA-TG2B+0.5TV2C_GNL_C,7.4
ATA-TG2B+0.5TV2C_GNL_D,7.4
ATA-TG2B+0.5TV2C_GNL_E,7.4
ATA-TG2B+0.5TV2C_GN_A,7.4
ATA-TG2B+0.5TV2C_GNL_INF,7.4
PAS_MEJILLONES,5.94
MANTOS_BLANCOS,0.036
LA_PORTADA,0.034
INACAL,0.031
AGUAS_BLANCAS,0
TALTAL_1_DIE,0.662
TALTAL_1_GNL_A,0.56
TALTAL_1_GNL_B,0.56
TALTAL_1_GNL_C,0.56
TALTAL_1_GNL_D,0.56
TALTAL_1_GNL_E,0.56
TALTAL_1_GN_A,0.56
TALTAL_1_GNL_INF,0.56
TALTAL_2_DIE,0.367
TALTAL_2_GNL_A,0.243
TALTAL_2_GNL_B,0.243
TALTAL_2_GNL_C,0.243
TALTAL_2_GNL_D,0.243
TALTAL_2_GNL_E,0.243
TALTAL_2_GN_A,0.243
TALTAL_2_GNL_INF,0.243
DIEGO_DE_ALMAGRO,0.1309
ANDES_U1-U2_DIE,0.39
ANDES_U3_DIE,0.39
ANDES_U4_DIE,0.78
EL_SALVADOR,0.051
